Article,Total Words(m),Frequency(f),Relative Frequency (f/m)
article111,105,2,0.06666666666666667
article213,194,1,0.03608247422680412
article261,58,1,0.1206896551724138
article279,254,3,0.027559055118110236
article320,39,2,0.1794871794871795
article357,448,1,0.015625
article412,190,3,0.03684210526315789
article479,84,2,0.08333333333333333
article542,94,1,0.07446808510638298
article565,45,1,0.15555555555555556
article609,274,2,0.025547445255474453
article674,223,1,0.03139013452914798
article700,89,1,0.07865168539325842
article674,223,1,0.03139013452914798
article733,147,2,0.047619047619047616
article739,243,3,0.02880658436213992
article756,75,2,0.09333333333333334
article772,82,1,0.08536585365853659
article778,29,1,0.2413793103448276
article858,505,1,0.013861386138613862
article863,271,4,0.025830258302583026
article890,775,1,0.00903225806451613
article927,98,1,0.07142857142857142
article987,372,1,0.01881720430107527
article991,14,1,0.5
