Tweet,Text,Match,Polarity
1,"['rt', 'frank', 'chimienti', 'handfuls', 'biden', 'rally', 'pa', 'cars', 'honking', 'least', 'cars', 'trump', 'voters']",trump,positive
2,"['usually', 'wicker', 'furniture', 'used', 'outdoors', 'porches', 'decks', 'using', 'dining', 'room', 'table']",,neutral
3,"['underthewitness', 'hi', 'city', 'law', 'amp', 'law', 'requires', 'everyone', 'wear', 'mask', 'face', 'c']",,neutral
4,"['dawnroseturner', 'bonjour', 'unroll', 'smillssk', 'sk', 'covid', 'update', 'new', 'restrictions', 'expansion', 'mandat']",,neutral
5,"['rt', 'fox', 'dallas', 'county', 'issuing', 'warning', 'increase', 'covid', 'cases', 'like', 'never', 'seen', 'judge', 'clay', 'jenkins', 'urged', 'peop']","warning,like",neutral
6,"['spend', 'weekend', 'mulligans', 'take', 'advantage', 'takeaway', 'options', 'heat', 'serve', 'dinner', 'package', 'includi']",advantage,positive
7,"['rt', 'katinalynn', 'please', 'please', 'please', 'prioritize', 'schools', 'bars', 'restaurants', 'gyms', 'far', 'less', 'transmission', 'schools']",,neutral
8,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
9,"['rt', 'drericding', 'breaking', 'entire', 'country', 'coronavirus', 'pandemic', 'another', 'new', 'time', 'record', 'cases', 'today', 'thanksgiving', 'holid']",breaking,negative
10,"['appletontech', 'journalsentinel', 'protests', 'outside', 'masks', 'cause', 'problems', 'selfish', 'bar', 'patrons', 'maskl']","protests,problems,selfish",negative
11,"['rt', 'proflwiley', 'go', 'indoor', 'gym', 'dine', 'indoors', 'restaurant', 'higher', 'risk', 'lots', 'special', 'interest', 'pressure', 'leav']",risk,negative
12,"['rt', 'titialayour', 'tunmiike', 'kastro', 'whatever', 'lock', 'indoor', 'cry', 'get', 'relieved', 'forget', 'ta']",cry,negative
13,"['nygovcuomo', 'agreed', 'spreading', 'widely', 'schools', 'kids', 'huge', 'risk', 'worsening', 'mental', 'health']","risk,worsening",negative
14,"['jim', 'jordan', 'differences', 'indoor', 'outdoor', 'wearing', 'mask', 'wearing', 'mask', 'indoor', 'maskless', 'gatherings', 'ar']",,neutral
15,"['deitymicrophone', 'bruh', 'get', 'every', 'wanted', 'review', 'indoor', 'tree', 'yes', 'read', 'right']",right,positive
16,"['dfisman', 'profamirattaran', 'sharkawymd', 'amygreerkalisz', 'imgrund', 'ashtuite', 'beatesander', 'bogochisaac', 'dgbassani']",,neutral
17,"['raynitabonita', 'indoor', 'outdoor']",,neutral
18,"['sazzledazzle', 'nycmayor', 'businesses', 'need', 'indoor', 'dining', 'complete', 'lack', 'empathy', 'restaurant', 'owners', 'astounding']","lack,empathy,astounding",positive
19,"['smart', 'indoor', 'garden', 'greenbox', 'smart', 'indoorgarden', 'led', 'berlingreen', 'grow', 'plants', 'indoors', 'smar']","smart,led",positive
20,"['dallas', 'county', 'issuing', 'warning', 'increase', 'covid', 'cases', 'like', 'never', 'seen', 'judge', 'clay', 'jenk']","warning,like",neutral
21,"['trapsdeal', 'pestcontroldeal', 'check', 'mosquito', 'traps', 'gnat', 'trap', 'moth', 'traps', 'mosquito', 'trapper', 'indoor', 'sti']",trap,negative
22,"['rt', 'marklevinenyc', 'nyc', 'closes', 'schools', 'continues', 'allow', 'indoor', 'dining', 'priorities', 'totally', 'backwards']",,neutral
23,"['rt', 'smillssk', 'sk', 'covid', 'update', 'new', 'restrictions', 'expansion', 'mandatory', 'masking', 'indoor', 'public', 'spaces', 'amp', 'curfew', 'alcohol', 'sales']",,neutral
24,"['indoorthermometersdeal', 'see', 'amazing', 'acurite', 'indoor', 'thermometer', 'amp', 'hygrometer', 'humidity', 'gauge', 'blac']",amazing,positive
25,"['lauralittrell', 'mention', 'increased', 'contact', 'tracing', 'accomplish', 'saying', 'somethings', 'need']",accomplish,positive
26,"['drop', 'stay', 'amp', 'play', 'play', 'daychicago', 'new', 'stay', 'amp', 'play', 'classes', 'parents', 'caregivers', 'opportun']",,neutral
27,"['indoor', 'water', 'park', 'northern', 'lights']",,neutral
28,"['else', 'great', 'garden', 'indoor', 'outdoor', 'camp', 'st', 'nd', 'nov', 'helping', 'others', 'enjoy', 'loc']","great,helping,enjoy",positive
29,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
30,"['rt', 'fatkiddeals', 'indoor', 'grow', 'plant', 'lights', 'use', 'promo', 'code', 'fftc', 'nm']",,neutral
31,"['dreadycrocker', 'indoor', 'grows', 'lmaoo']",,neutral
32,"['winter', 'likely', 'incredibly', 'challenging', 'restaurants', 'bars', 'published', 'winter', 'dining', 'guide']","incredibly,challenging",neutral
33,"['let', 'little', 'rain', 'stop', 'lunch', 'us', 'today', 'indoor', 'dining', 'open']",,neutral
34,"['rt', 'dhscgovuk', 'face', 'coverings', 'required', 'indoor', 'places', 'however', 'people', 'exempt', 'wearing', 'one', 'members']",,neutral
35,"['rt', 'news', 'buffalo', 'erie', 'county', 'sheriff', 'timothy', 'howard', 'interested', 'enforcing', 'gov', 'cuomo', 'new', 'mandate', 'indoor', 'gatherings']",,neutral
36,"['rt', 'powellnyt', 'keep', 'schools', 'open', 'new', 'york']",,neutral
37,"['mjkuhns', 'thekillustrator', 'nobody', 'said', 'consider', 'indoor', 'places', 'dude']",,neutral
38,"['rt', 'corsiaq', 'please', 'patriot', 'act', 'wear', 'mask', 'indoor', 'space', 'home', 'w', 'immediate', 'family', 'present', 'visit']",patriot,positive
39,"['rt', 'waskodr', 'even', 'though', 'mandated', 'people', 'rural', 'saskatchewan', 'wear', 'mask', 'indoor', 'spaces', 'scientifically']",,neutral
