_id,created_at,id,id_str,text,truncated,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang
5faeb181da380b508c56f699,Fri Nov 13 16:17:04 +0000 2020,1327284353810931717,1327284353810931717,COVID-19 testing down across Canada as positive case numbers soar in most provinces ,false,[],[],[],"[{""url"":"""",""expanded_url"":"""",""display_url"":""dlvr.it/RlcpB4"",""indices"":[84,107]}]",en,recent,"<a href="""" rel=""nofollow"">dlvr.it</a>",null,null,null,null,null,25886569,25886569,Golden Star,goldenstarnews,Golden BC,"Where Golden news begins. Follow for breaking stories, special reports, links, features and for access to local reporters. Part of @BlackPressMedia",false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""thegoldenstar.net"",""indices"":[0,22]}]",[],false,1188,113,67,Sun Mar 22 21:41:55 +0000 2009,87,null,null,false,false,30008,null,false,false,false,9AE4E8,false,false,true,false,false,false,0084B4,BDDCAD,DDFFCC,333333,true,false,false,false,false,false,false,none,null,null,null,null,false,0,0,false,false,false,en
5faeb182da380b508c56f69a,Fri Nov 13 16:17:04 +0000 2020,1327284353181700097,1327284353181700097,COVID-19 testing down across Canada as positive case numbers soar in most provinces ,false,[],[],[],"[{""url"":"""",""expanded_url"":"""",""display_url"":""dlvr.it/Rlcp9s"",""indices"":[84,107]}]",en,recent,"<a href="""" rel=""nofollow"">dlvr.it</a>",null,null,null,null,null,41172346,41172346,Cloverdale Reporter,CloverdaleNews,"British Columbia, Canada","Famous for small-town charm, shopping, the rodeo, history, friendliness, and for movies & TV. Part of @BlackPressMedia",null,,[],false,4686,672,148,Tue May 19 18:15:00 +0000 2009,574,null,null,true,false,45328,null,false,false,false,ABB8C2,false,false,true,false,false,false,3B94D9,000000,000000,000000,true,false,false,false,false,false,false,none,null,null,null,null,false,0,0,false,false,false,en
5faeb182da380b508c56f69b,Fri Nov 13 16:17:03 +0000 2020,1327284352179261446,1327284352179261446,RT @CanPaedSociety: Tomorrow is #WorldDiabetesDay and the birthday of Sir Frederick Banting. Do your patients with type 1 #diabetes have th,false,"[{""text"":""WorldDiabetesDay"",""indices"":[32,49]},{""text"":""diabetes"",""indices"":[122,131]}]",[],"[{""screen_name"":""CanPaedSociety"",""name"":""CdnPaediatricSociety"",""id"":1089830748,""id_str"":""1089830748"",""indices"":[3,18]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter Web App</a>",null,null,null,null,null,1967745060,1967745060,CP Canada,CPCanadaNetwork,false,CP Canada Network is a collaboration of Cerebral Palsy Organizations and researchers raising awareness and developing a National Strategy for Cerebral Palsy,null,,[],false,1781,2234,36,Thu Oct 17 23:40:15 +0000 2013,878,null,null,false,false,2667,null,false,false,false,C0DEED,false,false,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,1,0,false,false,,en
5faeb182da380b508c56f69c,Fri Nov 13 16:17:03 +0000 2020,1327284351881515008,1327284351881515008,RT @JeanYip3:  stands with the people of Hong Kong ,false,[],[],"[{""screen_name"":""JeanYip3"",""name"":""Jean Yip"",""id"":2513973205,""id_str"":""2513973205"",""indices"":[3,12]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,1189047242251915264,1189047242251915264,Clinton1979kw,clinton1979kw,false,HK is not China.,null,,[],false,399,1096,0,Tue Oct 29 05:12:38 +0000 2019,7720,null,null,false,false,3335,null,false,false,false,F5F8FA,null,null,false,false,false,,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,true,386,0,false,false,,en
5faeb183da380b508c56f69d,Fri Nov 13 16:17:03 +0000 2020,1327284349641908224,1327284349641908224,Mandalorian ep 3 summary: Welcome to Canada,false,[],[],[],[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,1274520709201563649,1274520709201563649,Rambling Crowe,ramblingcrowe,"Vermont, USA",A kind of modest you likely like least. Not a professional by any stretch of imagination. Ever hunting the harder truths.,null,,[],false,1195,3711,5,Sun Jun 21 01:53:26 +0000 2020,30157,null,null,false,false,6623,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,,en
5faeb183da380b508c56f69e,Fri Nov 13 16:17:03 +0000 2020,1327284348697989121,1327284348697989121,RT @yonkojohn: @TrueNorthCentre Going Green will be away to expensive for Canada.  Unfortunately these decisions are being made by those wh,false,[],[],"[{""screen_name"":""yonkojohn"",""name"":""John Smith"",""id"":490624228,""id_str"":""490624228"",""indices"":[3,13]},{""screen_name"":""TrueNorthCentre"",""name"":""True North"",""id"":3664109892,""id_str"":""3664109892"",""indices"":[15,31]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for Android</a>",null,null,null,null,null,1324148144171487232,1324148144171487232,HongKongPhooey,BoooogReeeeeee,"Calgary, Alberta","Interested in Canadian politics. Conservative. Liberals out of Alberta! #Wexit. I don't want Canada/Confederation anymore. Alberta. 115 years of resistance!",null,,[],false,240,969,0,Thu Nov 05 00:35:30 +0000 2020,1460,null,null,false,false,2024,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,false,1,0,false,false,,en
5faeb183da380b508c56f69f,Fri Nov 13 16:17:02 +0000 2020,1327284347829964804,1327284347829964804,"RT @MeanwhileinCana: @marcomendicino @JustinTrudeau That's good.  Democracies around the world have foolishly failed to protect the citizen",false,[],[],"[{""screen_name"":""MeanwhileinCana"",""name"":""Meanwhile in Canada"",""id"":552252043,""id_str"":""552252043"",""indices"":[3,19]},{""screen_name"":""marcomendicino"",""name"":""Marco Mendicino"",""id"":312759403,""id_str"":""312759403"",""indices"":[21,36]},{""screen_name"":""JustinTrudeau"",""name"":""Justin Trudeau"",""id"":14260960,""id_str"":""14260960"",""indices"":[37,51]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter Web App</a>",null,null,null,null,null,552252043,552252043,Meanwhile in Canada,MeanwhileinCana,false,Looking at the lighter side of life in Canada and Canadian politics. ,false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""facebook.com/MeanwhileinCan"",""indices"":[0,23]}]","[{""url"":"""",""expanded_url"":"""",""display_url"":""instagram.com/meanwhileincan"",""indices"":[69,92]}]",false,81740,1,667,Thu Apr 12 23:19:54 +0000 2012,28055,null,null,false,false,32108,null,false,false,false,C0DEED,false,false,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,1,0,false,false,,en
5faeb183da380b508c56f6a0,Fri Nov 13 16:17:00 +0000 2020,1327284339004960768,1327284339004960768,"@williamlegate @No1_in_Canada @realDonaldTrump The GOP legal strategy, summed up by famed bird law scholar: ",false,[],[],"[{""screen_name"":""williamlegate"",""name"":""William LeGate "",""id"":38029205,""id_str"":""38029205"",""indices"":[0,14]},{""screen_name"":""No1_in_Canada"",""name"":""Alan Smithee Production"",""id"":81151835,""id_str"":""81151835"",""indices"":[15,29]},{""screen_name"":""realDonaldTrump"",""name"":""Donald J. Trump"",""id"":25073877,""id_str"":""25073877"",""indices"":[30,46]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",1327283836561072129,1327283836561072129,38029205,38029205,williamlegate,3755564179,3755564179,Dave Simon,hairyhilarity,"Phoenix, AZ","Attorney by day. Sleepy by night. Comedian in between. Impressions, insightful commentary, and exuberant energy.",false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""davesimoncomedy.com"",""indices"":[0,23]}]",[],false,2880,4898,6,Fri Oct 02 05:08:30 +0000 2015,31388,null,null,false,false,28054,null,false,false,false,C0DEED,false,false,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,false,en
5faeb183da380b508c56f6a1,Fri Nov 13 16:17:00 +0000 2020,1327284336882831365,1327284336882831365,"@KingKupa7 @CTVNews Can vote Biden Idiot. I Live in Canada.
and since when has Biden been accused of that. Where as ",true,[],[],"[{""screen_name"":""KingKupa7"",""name"":""King Kupa"",""id"":1174625319786934300,""id_str"":""1174625319786934272"",""indices"":[0,10]},{""screen_name"":""CTVNews"",""name"":""CTV News"",""id"":203123011,""id_str"":""203123011"",""indices"":[11,19]}]","[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[117,140]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter for Android</a>",1327179367470964736,1327179367470964736,1174625319786934272,1174625319786934272,KingKupa7,422122218,422122218,Michael CDN,43Silencer,"Ontario, Canada","5th Hebrew 13th Black Irish. Cousin of A.J. Jacobs learning more about my Hebrew side. missing my Youth Group.
fighter of Bigots no matter their race. Love Is.",null,,[],false,352,1024,2,Sat Nov 26 20:59:21 +0000 2011,58355,null,null,true,false,70068,null,false,false,false,C0DEED,false,false,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,,en
5faeb183da380b508c56f6a2,Fri Nov 13 16:17:00 +0000 2020,1327284336689725441,1327284336689725441,RT @Frazzling: Suicide figures are up. Could 2 followers please copy and re-post this tweet? We trying to demonstrate that someone is al,false,[],[],"[{""screen_name"":""Frazzling"",""name"":""Yvonne Dean "",""id"":43998427,""id_str"":""43998427"",""indices"":[3,13]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPad</a>",null,null,null,null,null,530964752,530964752,Dale Dickau,daledickau,false,false,null,,[],false,549,1578,12,Tue Mar 20 06:17:14 +0000 2012,110251,null,null,false,false,14466,null,false,false,false,C0DEED,false,false,false,false,false,,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,5,0,false,false,,en
