_id,created_at,id,id_str,text,truncated,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang
5faeb248d395d90ae8a8dd68,Fri Nov 13 16:20:20 +0000 2020,1327285175982632962,1327285175982632962,"Temperature: 9.5'C; Wind: 315'; 1.1 mph (avg); 2.0 mph (Gust); ; Humidity: 67.00%; Rain: 0.000 mm; Pressure: 1005.033 millibar",false,[],[],[],[],en,recent,"<a href="""" rel=""nofollow"">BrockleyWhinsWeather</a>",null,null,null,null,null,1037157014,1037157014,BrockleyWhinsWeather,brockleywhinsw,"Brockley Whins, South Shields","Weather reports from Brockley Whins, South Shields on Tyneside.
A WH1080 station with PYWWS running on a Raspberry Pi running Raspbian",false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""wunderground.com/cgi-bin/findwe"",""indices"":[0,22]}]",[],false,20,1,2,Wed Dec 26 13:36:27 +0000 2012,1,null,null,true,false,165627,null,false,false,false,C0DEED,false,false,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
5faeb249d395d90ae8a8dd69,Fri Nov 13 16:20:18 +0000 2020,1327285167602290690,1327285167602290690,"RT @DrBeniRusani: Small wedding. 55 attendees.
Temperature taken at entrance. No fevers reported.

Later, 177 infected.
7 died  and they d",false,[],[],"[{""screen_name"":""DrBeniRusani"",""name"":""Dr Beni Rusani"",""id"":398662273,""id_str"":""398662273"",""indices"":[3,16]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for Android</a>",null,null,null,null,null,2182215122,2182215122,ainaa,ainaafqh99_,"Kota Tinggi, Johor",only accounting can mess up with me,false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""instagram.com/ainaafqh___"",""indices"":[0,23]}]",[],false,473,289,0,Fri Nov 08 13:33:05 +0000 2013,2050,null,null,true,false,39940,null,false,false,false,DD2E44,false,false,true,false,false,false,89C9FA,000000,000000,000000,false,true,false,false,false,false,false,none,null,null,null,null,false,4198,0,false,false,en
5faeb249d395d90ae8a8dd6a,Fri Nov 13 16:20:12 +0000 2020,1327285144961523713,1327285144961523713,"RT @DrBeniRusani: Small wedding. 55 attendees.
Temperature taken at entrance. No fevers reported.

Later, 177 infected.
7 died  and they d",false,[],[],"[{""screen_name"":""DrBeniRusani"",""name"":""Dr Beni Rusani"",""id"":398662273,""id_str"":""398662273"",""indices"":[3,16]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,1156628718,1156628718,NAMI,namilo1312,Johor / SG,A man is his heart. ,null,,[],false,354,1050,13,Thu Feb 07 09:46:12 +0000 2013,37430,null,null,true,false,53397,null,false,false,false,030303,false,false,true,false,false,false,050505,000000,DDEEF6,333333,true,true,false,false,false,false,false,none,null,null,null,null,false,4197,0,false,false,en
5faeb249d395d90ae8a8dd6b,Fri Nov 13 16:20:08 +0000 2020,1327285127894818818,1327285127894818818,"RT @DrBeniRusani: Small wedding. 55 attendees.
Temperature taken at entrance. No fevers reported.

Later, 177 infected.
7 died  and they d",false,[],[],"[{""screen_name"":""DrBeniRusani"",""name"":""Dr Beni Rusani"",""id"":398662273,""id_str"":""398662273"",""indices"":[3,16]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,713825042,713825042,false,MiezaMhd__,false,false,false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""Instagram.com/miezamhd__"",""indices"":[0,23]}]",[],false,1644,438,0,Tue Jul 24 06:46:53 +0000 2012,7871,null,null,true,false,41735,null,false,false,false,962357,false,false,true,false,false,false,6B00B3,000000,DDEEF6,333333,true,true,false,false,false,false,false,none,null,null,null,null,false,4198,0,false,false,en
5faeb249d395d90ae8a8dd6c,Fri Nov 13 16:20:07 +0000 2020,1327285121532223488,1327285121532223488,"RT @ScottDuncanWX: Wait for it...

You can really see how our planet is pulsing warmer and warmer. 2020 looks like it will be the hottest y",false,[],[],"[{""screen_name"":""ScottDuncanWX"",""name"":""Scott Duncan"",""id"":3005897708,""id_str"":""3005897708"",""indices"":[3,17]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter Web App</a>",null,null,null,null,null,918830941027622912,918830941027622912, NWO Umweltministerin Germany ,MoniqueFreude,"Dresden, Sachsen","Gutmensch. Mein Herz schl links und das mit Freude.  Gegenfaschistin.  f Seenotrettung,  f Klimaschutz,  f Toleranz.",null,,[],false,151,381,3,Fri Oct 13 13:29:02 +0000 2017,6274,null,null,false,false,10818,null,false,false,false,000000,false,false,false,false,false,false,E81C4F,000000,000000,000000,false,true,false,false,false,false,false,none,null,null,null,null,false,776,0,false,false,en
5faeb249d395d90ae8a8dd6d,Fri Nov 13 16:20:05 +0000 2020,1327285113365913603,1327285113365913603,"RT @ozm: To stop the projected rise in Earth temperature and sea level, we would have had to reduce our emissions to zero between 1960 an",false,[],[],"[{""screen_name"":""ozm"",""name"":""OneZero"",""id"":1123227507631820800,""id_str"":""1123227507631820803"",""indices"":[3,7]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,438620792,438620792,Maudlyne Ihejirika,maudlynei,"Chicago, Illinois","@Suntimes Columnist/Asst City Edtr w/25yrs in Jrnlsm, Pblc Rels; @UIowa @MedillSchool alum; @AKAsorority1908; Prez of @NABJCC & @CJA_Updates; FB/IG @maudlynei",false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""suntimes.com"",""indices"":[0,22]}]",[],false,5499,2708,259,Fri Dec 16 20:23:16 +0000 2011,10944,null,null,true,true,79173,null,false,false,false,0099B9,false,false,false,false,false,false,0099B9,5ED4DC,95E8EC,3C3940,true,false,false,false,false,false,false,none,null,null,null,null,false,396,0,false,false,en
5faeb249d395d90ae8a8dd6e,Fri Nov 13 16:20:03 +0000 2020,1327285103458967557,1327285103458967557,"RT @drphilhammond: If approved, the Pfizer BioNTech vaccine will be manufactured in Germany and Belgium. We have ordered 40 million doses.",false,[],[],"[{""screen_name"":""drphilhammond"",""name"":""Dr Phil Hammond"",""id"":120534606,""id_str"":""120534606"",""indices"":[3,17]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,17325758,17325758,monkeemel,monkeemel,Brixton Village,"Passionately alive when dancing, excited by giant robots, sustained by sci-fi, intrigued by architecture & design, committed to comics. Best served hot.",false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""plus.google.com/u/0/1005655484"",""indices"":[0,23]}]",[],false,276,647,15,Tue Nov 11 23:50:47 +0000 2008,13720,null,null,false,false,8639,null,false,false,false,650D21,false,false,true,false,false,false,B2173B,110105,E55A7B,E40046,false,false,false,false,false,false,false,none,null,null,null,null,false,6969,0,false,false,en
5faeb249d395d90ae8a8dd6f,Fri Nov 13 16:20:02 +0000 2020,1327285102506860544,1327285102506860544,"16:20 Its Afternoon,Dry/A few clouds  and it feels Cool outside. The temperature has been falling for the last few ",true,[],[],[],"[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[116,139]}]",en,recent,"<a href="""" rel=""nofollow"">Weather Display Tweet</a>",null,null,null,null,null,484056895,484056895,Gosport Weather,Gosportwx,"Gosport, Hampshire,UK",Weather information from Gosport Weather updated every 10 minutes.,false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""gosportweather.co.uk"",""indices"":[0,22]}]",[],false,67,6,7,Sun Feb 05 17:49:56 +0000 2012,0,null,null,false,false,97032,null,false,false,false,C0DEED,false,false,false,false,false,,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
5faeb249d395d90ae8a8dd70,Fri Nov 13 16:20:01 +0000 2020,1327285098018983937,1327285098018983937,Time 11:20AM Temperature 66.7 Winds 3.1mph NW Gust 5.4mph Precipitation 0.00in Pressure 1020.1mb,false,[],[],[],[],en,recent,"<a href="""" rel=""nofollow"">Meteobridge</a>",null,null,null,null,null,2925200181,2925200181,Emory ENVS Weather,Emory_ENVS_Wx,"Atlanta, GA",Continuous streaming weather from the Department of Environmental Sciences at Emory University,false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""wunderground.com/personal-weath"",""indices"":[0,22]}]",[],false,9,0,8,Tue Dec 16 16:11:50 +0000 2014,0,null,null,false,false,308764,null,false,false,false,C0DEED,false,false,false,false,false,,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
5faeb249d395d90ae8a8dd71,Fri Nov 13 16:20:01 +0000 2020,1327285096743833600,1327285096743833600,"Time is: 17:20:00

Temperature: 16.8 
Humidity   : 62.3 %
Pressure: 1013.54 hPa
CO2level:  617   ppm",false,[],[],[],[],en,recent,"<a href="""" rel=""nofollow"">CO2 tweet</a>",null,null,null,null,null,2240874763,2240874763,Gee Tee,Da_Labz,Je suis encore toujours @ Home,The ex(c)iting messages from Da Labz . . .,null,,[],false,2,0,0,Wed Dec 11 14:32:05 +0000 2013,0,null,null,false,false,125468,null,false,false,false,C0DEED,false,false,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
